Item,Indentation,"Allconsumerunits","Lowest20percent","Second20percent","Third20percent","Fourth20percent","Highest20percent"
"Women's sportcoats, tailored jackets",4,6.55,1.28,2.07,3.12,4.06,22.28
"Women's sweaters, shirts, tops, vests*",4,158.45,74.29,122.40,132.52,159.39,303.48
Women's skirts*,4,11.82,4.89,.95,6.80,7.86,38.57
Women's pants and shorts*,4,97.38,64.54,80.14,83.98,116.19,141.99
Women's active sportswear*,4,39.95,17.55,27.40,45.14,47.18,62.44
Women's sleepwear*,4,19.80,9.65,16.30,21.86,16.23,34.96
Women's undergarments*,4,36.41,14.75,25.56,34.59,49.64,57.47
Women's hosiery*,4,23.62,14.32,14.67,25.12,27.55,36.41
Women's suits,4,5.38,2.01,1.67,1.82,5.70,15.73
Women's accessories*,4,64.71,32.35,41.92,71.91,69.48,107.84
Women's uniforms,4,4.48,2.38,2.28,5.53,5.43,6.79
Women's costumes,4,1.37,.92,.53,.54,1.05,3.84
Girls' coats and jackets,4,5.14,2.44,3.62,3.87,6.80,8.99
Girls' dresses and suits*,4,11.23,3.14,4.32,14.18,15.28,19.23
"Girls' shirts, blouses, sweaters, vests*",4,27.12,12.08,11.41,29.51,40.92,41.67
"Girls' skirts, pants, and shorts",4,20.46,8.25,13.08,16.23,23.63,41.20
Girls' active sportswear*,4,8.88,2.08,1.99,8.05,12.82,19.46
Girls' underwear and sleepwear*,4,6.67,2.34,3.57,7.02,9.06,11.35
Girls' hosiery*,4,5.56,3.23,2.48,5.46,6.61,10.01
Girls' accessories*,4,4.79,1.88,1.91,4.33,7.59,8.24
Girls' uniforms,4,1.96,1.25,1.59,1.41,1.63,3.93
Girls' costumes,4,1.76,.21,1.12,1.54,1.90,4.03
"Infant coat, jacket, snowsuit",3,1.12,.35,.81,1.08,1.20,2.14
"Infant dresses, outerwear*",3,17.20,3.26,13.07,11.18,25.15,33.30
Infant underwear*,3,35.60,15.11,25.73,29.35,59.85,47.95
"Infant nightwear, loungewear*",3,2.66,.87,.50,2.81,4.96,4.15
Infant accessories*,3,9.72,3.01,5.85,6.84,10.64,22.26
Men's footwear*,3,119.95,44.21,81.33,92.17,148.57,233.32
Boys' footwear*,3,49.51,33.59,28.58,40.49,69.60,75.27
Women's footwear*,3,183.98,102.66,130.78,171.85,173.79,340.63
Girls' footwear*,3,34.34,25.94,15.49,29.64,32.54,68.07
"Material and supplies for sewing, needlework, quilting (includes household items)*",3,22.54,10.98,23.59,19.70,17.82,40.57
Watches*,3,22.42,1.42,12.67,24.42,33.02,40.55
Jewelry,3,106.21,19.20,31.39,67.74,94.38,319.10
Shoe repair and other shoe service,3,1.86,.83,1.25,1.14,1.83,4.25
Coin-operated apparel laundry and dry cleaning,3,41.04,54.30,53.75,49.44,31.13,16.49
"Alteration, repair and tailoring of apparel and accessories",3,7.96,1.99,3.42,4.03,8.29,22.13
Clothing rental,3,1.80,.23,.43,2.26,2.46,3.62
Watch and jewelry repair,3,4.46,.95,1.62,2.06,4.41,13.28
Apparel laundry and dry cleaning not coin-operated,3,47.21,9.88,13.45,20.25,38.10,154.78
Clothing storage,3,1.60,1.55,2.93,2.30,.21,1.03
New cars,4,702.23,209.22,581.92,794.71,798.99,"1,127.50"
New trucks,4,947.31,253.04,555.69,623.13,"1,159.39","2,149.44"
Used cars,4,852.88,366.76,696.50,904.43,894.49,"1,403.87"
Used trucks,4,"1,065.78",475.83,625.04,"1,182.25","1,429.81","1,618.84"
New motorcycles,4,43.85,9.20,22.42,15.63,72.93,99.28
New aircraft,4,b/,b/,b/,b/,b/,b/
Used motorcycles,4,21.85,17.62,10.25,21.46,27.21,32.79
Used aircraft,4,b/,b/,b/,b/,b/,b/
Gasoline,3,"1,748.06",842.70,"1,316.35","1,771.74","2,223.68","2,589.10"
Diesel fuel,3,40.22,12.83,17.80,33.08,50.12,87.46
Gasoline on out-of-town trips,3,106.85,38.96,61.59,89.90,143.02,201.16
Motor oil,3,12.68,7.26,11.57,13.26,16.55,14.77
Motor oil on out-of-town trips,3,1.08,.39,.62,.91,1.44,2.03
Automobile finance charges,4,87.27,26.83,60.05,89.69,121.37,138.64
Truck finance charges,4,125.26,30.84,69.34,113.72,181.28,231.56
Motorcycle and plane finance charges,4,2.22,.50,.52,2.54,1.26,6.30
Other vehicle finance charges,4,11.01,6.59,3.79,6.58,14.02,24.13
"Coolant, brake fluid, transmission fluid, and other additives",4,6.79,4.43,6.34,8.32,7.94,6.93
"Tires - purchased, replaced, installed",4,135.37,52.03,99.81,132.40,169.87,223.06
"Parts, equipment, and accessories",4,53.31,25.89,48.47,63.66,61.23,67.35
Vehicle products and cleaning services*,4,12.12,4.70,7.35,15.64,7.96,24.92
"Misc. auto repair, servicing*",4,83.07,34.92,40.58,81.92,96.57,161.29
Body work and painting,4,29.72,11.93,21.32,17.03,38.87,59.56
Vehicle or engine repairs,4,197.10,85.90,123.01,200.32,242.26,334.57
Motor tune-up,4,38.57,10.98,24.48,38.80,35.67,83.07
"Lube, oil change, and oil filters",4,91.28,42.03,65.42,91.56,114.26,143.37
"Front-end alignment, wheel balance and rotation",4,23.36,10.29,20.47,21.93,23.99,40.18
Shock absorber replacement,4,13.15,5.33,5.03,6.78,26.95,21.71
"Gas tank repair, replacement*",4,14.34,10.88,8.31,15.24,10.57,26.69
Repair tires and other repair work,4,116.86,70.16,90.71,102.79,130.18,190.71
Auto repair service policy,4,33.98,16.62,15.97,30.64,38.37,68.44
Vehicle insurance*,3,"1,149.12",661.18,741.17,"1,068.78","1,505.29","1,768.38"
Auto/truck rental,6,42.01,16.96,27.29,27.87,46.76,91.36
"Auto/truck rental, out-of-town trips",6,21.17,3.86,5.77,8.73,22.99,64.68
Motorcycle rental,6,.62,b/,b/,.75,b/,2.37
"Motorcycle rental, out-of-town trips",6,.15,b/,b/,.76,a/,b/
Aircraft rental,6,.37,b/,b/,b/,b/,1.87
"Aircraft rental, out-of-town trips",6,.01,b/,a/,b/,b/,.04
Car/truck lease payments,6,270.64,71.30,131.96,214.33,282.53,654.48
Cash downpayment car/truck lease,6,31.44,13.00,14.93,28.65,36.72,64.03
Termination fee for car/truck lease,6,3.27,.17,.30,3.32,2.81,9.78
Extra fees for car/truck lease,6,2.33,3.51,1.83,1.51,.81,3.99
Trade in allowance for car/truck lease,6,29.70,1.82,5.18,23.80,22.90,95.05
Vehicle registration state,4,95.45,34.00,72.67,88.57,125.62,156.60
Vehicle registration local,4,8.48,3.94,5.98,7.28,11.16,14.06
Drivers' license,4,9.55,5.56,6.56,9.04,12.94,13.65
Vehicle inspection,4,11.31,4.95,9.54,11.89,14.35,15.83
"Parking fees in home city, excluding residence",5,45.32,11.66,20.96,27.25,46.17,120.83
"Parking fees, out-of-town trips",5,8.26,.93,4.17,5.08,8.71,22.46
Tolls or electronic toll passes,4,41.64,7.55,18.49,24.35,48.14,109.91
Tolls on out-of-town trips,4,5.05,.89,2.68,4.50,5.04,12.15
Towing charges,4,6.00,2.96,8.60,4.69,6.44,7.33
Automobile service clubs and GPS services,4,27.11,13.27,22.25,27.02,27.81,45.26
Airline fares,3,403.52,106.99,175.65,228.80,378.55,"1,130.11"
Intercity bus fares,3,10.40,6.11,9.41,10.51,8.66,17.31
Intracity mass transit fares,3,82.01,60.53,64.58,68.12,79.14,137.86
Local trans. on out-of-town trips,3,14.81,4.64,6.34,10.54,12.20,40.40
Taxi fares and limousine services on trips,3,8.70,2.72,3.72,6.19,7.17,23.73
Taxi fares and limousine services*,3,28.06,21.02,9.23,35.93,10.79,63.27
Intercity train fares,3,14.28,5.31,6.57,9.51,10.63,39.47
Ship fares,3,59.21,17.88,5.54,16.05,55.65,201.47
School bus,3,1.77,.10,.08,.16,.79,7.75
Fee for service health plan (not BCBS),4,597.70,164.94,329.64,579.26,790.42,"1,126.39"
Fee for service health plan (BCBS),4,547.38,144.09,238.52,478.52,803.90,"1,074.26"
Health maintenance organization (BCBS),4,418.32,94.60,194.40,385.04,549.95,869.45
Commercial medicare supplement (BCBS),4,43.94,36.20,77.84,47.83,22.68,34.99
Other health insurance (BCBS),4,22.45,4.84,15.90,18.73,39.91,32.93
Health maintenance organization (not BCBS),3,621.30,190.92,311.59,532.96,866.09,"1,207.46"
Medicare payments,3,532.49,539.25,831.25,598.47,390.37,301.21
Medicare prescription drug premium,3,105.28,121.00,171.75,105.46,67.54,60.28
Commercial medicare supplement (not BCBS),4,103.24,106.44,152.66,119.41,76.52,60.84
Other health insurance (not BCBS),4,83.54,24.96,61.18,65.37,101.68,164.77
Long term care insurance,3,84.42,55.25,82.16,81.15,81.83,121.78
Physician's services,3,214.07,66.24,114.15,196.68,258.94,435.18
Dental services,3,284.24,124.30,191.59,225.50,317.25,563.51
Eyecare services,3,47.21,17.51,41.39,42.92,44.28,90.06
Service by professionals other than physician,3,70.18,23.33,32.75,63.78,85.64,145.70
"Lab tests, x-rays",3,45.61,15.90,23.98,39.84,61.55,86.97
Hospital room and services,3,122.43,29.51,59.30,92.05,168.54,263.31
Medical care in retirement community,3,b/,b/,b/,b/,b/,b/
Care in convalescent or nursing home,3,34.26,38.06,68.87,25.73,13.08,25.41
Repair of medical equipment*,3,.36,b/,b/,b/,b/,1.81
Other medical care services,3,19.92,10.76,12.31,.50,17.53,58.60
Nonprescription drugs*,3,111.67,67.87,89.10,109.80,120.52,170.97
Nonprescription vitamins*,3,54.98,20.43,33.38,37.30,79.45,104.27
Prescription drugs,3,296.04,187.82,289.21,300.65,308.67,394.00
Eyeglasses and contact lenses,3,73.32,25.52,43.18,54.48,99.84,143.84
Hearing aids,3,19.58,17.32,20.37,11.31,14.55,34.40
Topicals and dressings*,3,46.62,20.70,31.14,43.48,49.79,87.96
Adult diapers,3,3.23,3.95,4.74,2.38,2.58,2.48
Medical equipment for general use,3,3.76,1.24,1.75,3.20,6.43,6.17
Supportive and convalescent medical equipment,3,3.27,1.11,2.68,3.81,1.47,7.31
Rental of medical equipment,3,.50,.53,.83,.23,.26,.65
"Rental of supportive, convalescent medical equipment",3,.41,1.12,.40,.40,.28,-.13
"Recreation expenses, out-of-town trips",3,22.18,3.95,8.65,15.79,26.49,56.15
"Social, recreation, health club membership",3,178.88,41.92,63.50,93.85,157.64,538.77
Fees for participant sports*,3,90.36,20.99,46.74,66.30,124.90,192.74
"Participant sports, out-of-town trips",3,19.74,3.37,5.90,8.95,20.02,60.61
"Play, theater, opera, concert",3,55.32,14.45,24.70,31.04,51.08,155.69
"Movies, parks, museums",3,63.29,18.26,29.91,51.01,75.44,142.14
"Movie, other admissions, out-of-town trips",3,54.21,11.83,20.98,28.74,60.27,149.57
Admission to sporting events,3,49.93,6.64,15.33,29.92,34.44,163.71
"Admission to sports events, out-of-town trips",3,18.06,3.94,6.99,9.57,20.08,49.83
Fees for recreational lessons,3,106.91,15.83,29.49,38.02,98.89,353.17
"Other entertainment services, out-of-town trips",3,22.18,3.95,8.65,15.79,26.49,56.15
"Stereos, radios, speakers, and sound components including those in vehicles",3,13.68,4.72,5.00,12.48,13.83,32.44
Phonographs*,3,b/,b/,b/,b/,b/,b/
Televisions,3,86.94,41.32,62.17,77.26,106.75,147.42
Cable and satellite television services,3,764.45,495.25,673.70,763.79,870.86,"1,019.45"
Miscellaneous sound equipment*,3,13.08,1.03,.55,1.59,4.85,57.35
Miscellaneous video equipment*,3,14.16,4.28,14.39,10.64,16.05,25.45
Satellite radio service,3,14.04,6.02,10.59,11.54,15.90,26.18
Sound equipment accessories*,3,14.84,7.22,10.01,6.61,24.48,25.89
Online gaming services,3,3.08,1.41,1.43,3.12,4.65,4.82
VCR's and video disc players,3,4.79,1.67,3.82,4.60,3.82,10.08
Digital media players and recorders*,3,b/,b/,b/,b/,b/,b/
"Video cassettes, tapes, and discs*",3,22.61,9.21,20.44,19.04,29.03,35.32
Video game software,3,11.38,5.36,7.99,12.75,14.03,16.81
Video game hardware and accessories*,3,21.52,5.47,12.47,27.03,21.44,41.15
"Streaming, downloading video",3,30.06,9.77,18.50,29.84,40.14,52.16
"Applications, games, ringtones for handheld devices",3,1.91,1.15,.99,1.99,2.20,3.22
"Repair of tv, radio, and sound equipment",3,2.19,1.41,1.49,1.98,2.54,3.55
Rental of televisions,3,.50,1.45,.26,.62,.15,b/
Personal digital audio players,3,1.76,.75,.76,1.33,1.92,4.03
Satellite dishes,3,1.65,.50,.93,1.36,3.56,1.88
"CDs, records, audio tapes",3,6.72,2.22,3.48,4.14,8.30,15.49
"Streaming, downloading audio",3,6.13,2.55,4.13,4.32,7.33,12.33
"Rental of VCR, radio, and sound equipment",3,.09,.01,.16,a/,.17,.09
Musical instruments and accessories,3,18.31,6.10,20.82,9.70,14.94,40.04
Rental and repair of musical instruments,3,2.81,6.93,1.09,.92,1.65,3.48
"Rental of video cassettes, tapes, films, and discs*",3,26.99,9.29,18.71,24.14,36.65,46.17
Rental of video hardware/accessories,3,.02,.12,b/,b/,b/,b/
Rental of video software,3,.72,.07,.61,.60,1.07,1.25
Installation of televisions,3,.50,.06,.51,.88,.42,.65
Installation of satellite television equipment,3,.01,.02,.04,b/,b/,.01
Installation of sound systems,3,.03,.02,.04,.09,b/,b/
Installation of other video equipment or sound systems,3,.02,b/,b/,b/,b/,.11
Pet food*,4,204.71,113.47,149.77,183.11,250.32,326.71
"Pet purchase, supplies, medicine",4,122.25,59.98,81.28,105.53,155.11,209.72
Pet services,4,52.77,16.06,26.83,40.17,49.64,131.40
Vet services*,4,203.53,32.44,85.61,146.72,304.24,448.35
"Toys, games, arts and crafts, and tricycles*",4,151.11,57.39,116.18,121.92,165.06,294.82
Stamp and coin collecting,4,3.25,1.97,.97,1.14,4.81,7.39
Playground equipment,4,2.86,.60,.81,1.87,5.83,5.21
Boat without motor and boat trailers,4,15.15,1.04,17.39,10.98,22.56,23.80
Trailer and other attachable campers,4,44.16,.54,3.90,73.86,79.66,63.06
Purchase of motorized camper,4,27.68,30.79,17.47,2.85,30.52,56.92
Purchase of other vehicle,4,34.01,.34,3.01,46.28,37.99,82.65
Purchase of boat with motor,4,32.52,b/,28.34,7.22,48.91,78.25
Rental noncamper trailer,4,.29,.18,.17,.35,.31,.42
Boat and trailer rental out-of-town trips,4,.72,.01,.56,.17,1.99,.87
Rental of campers on out-of-town trips,4,.47,b/,.53,.45,.04,1.32
Rental of other vehicles on out-of-town trips,4,14.84,2.65,5.48,7.08,26.92,32.14
Rental of boat,4,1.45,.51,1.28,.74,1.60,3.14
Rental of motorized camper,4,.64,.23,b/,.45,.34,2.19
Rental of other RV's,4,2.50,.40,4.83,1.91,.97,4.41
"Athletic gear, game tables, and exercise equipment*",4,45.75,3.73,12.51,25.86,80.60,105.97
Bicycles,4,22.62,7.14,8.56,14.12,34.03,49.39
Camping equipment*,4,11.87,3.48,6.11,9.85,2.72,37.18
Hunting and fishing equipment*,4,52.43,17.42,20.91,52.72,44.80,126.19
Winter sports equipment,4,5.10,2.63,2.56,1.08,2.61,16.64
Water sports equipment,4,7.41,.86,2.40,2.56,2.94,28.36
Other sports equipment,4,3.75,1.00,1.26,3.29,7.16,6.05
Global positioning system devices*,4,.75,b/,b/,b/,3.11,.63
Rental and repair of miscellaneous sports equipment,4,2.08,.46,.97,1.20,2.86,4.92
Film,4,.81,.86,.58,.95,.62,1.03
Other photographic supplies*,4,.11,b/,.03,.11,b/,.39
Photo processing,4,6.32,4.40,1.49,7.05,6.81,11.89
Repair and rental of photographic equipment,4,.70,1.84,.34,.60,.15,.56
Photographic equipment,4,18.43,3.28,7.09,13.86,35.90,32.07
Photographer fees,4,14.15,2.33,4.87,11.02,20.10,32.52
Fireworks*,3,3.27,4.25,.56,2.18,8.64,.75
Souvenirs*,3,1.04,.05,.19,1.69,.03,3.23
Visual goods*,3,.38,.14,.30,.98,.22,.25
"Pinball, electronic video games*",3,2.38,.82,.80,1.73,1.35,7.20
Live entertainment for catered affairs,3,7.81,1.34,4.32,6.47,6.45,20.53
Rental of party supplies for catered affairs,3,12.24,.99,2.66,9.14,10.32,38.20
Hair care products*,3,83.07,45.62,69.45,55.74,89.11,155.36
Nonelectric articles for the hair*,3,12.16,5.72,5.97,13.09,16.29,19.72
Wigs and hairpieces,3,3.75,3.27,5.76,4.23,2.74,2.74
"Oral hygiene products, articles*",3,37.01,20.15,29.94,34.12,36.61,64.19
Shaving needs*,3,21.53,8.76,15.22,22.18,20.15,41.32
"Cosmetics, perfume, bath preparations*",3,170.30,84.86,108.74,137.83,184.91,334.99
"Deodorants, feminine hygiene, miscellaneous personal care*",3,42.28,32.76,36.95,34.19,44.17,63.29
Electric personal care appliances*,3,6.73,4.09,1.05,5.43,6.06,16.98
Personal care services,3,329.80,128.20,216.68,262.61,376.93,665.76
Repair of personal care appliances*,3,.08,b/,b/,b/,.41,b/
Newspapers*,2,41.10,32.36,34.84,34.16,38.51,65.61
Magazines*,2,25.91,13.42,22.43,17.51,22.17,53.98
Newsletters*,2,b/,b/,b/,b/,b/,b/
Books thru book clubs,2,4.28,1.91,2.44,3.11,4.40,9.58
Books not thru book clubs,2,25.29,10.67,15.75,19.25,25.09,55.80
Encyclopedia and other sets of reference books*,2,b/,b/,b/,b/,b/,b/
Digital book readers,2,21.31,6.01,10.22,22.24,24.49,43.71
College tuition,2,823.18,496.93,517.27,321.31,488.91,"2,296.10"
Elementary and high school tuition,2,157.30,10.83,22.05,50.51,106.91,597.72
Vocational and technical school tuition,2,10.00,8.85,3.81,4.43,8.41,24.58
"Finance, late, interest charges for student loans",2,143.12,51.93,61.69,102.90,183.42,316.38
"Test preparation, tutoring services",2,17.46,10.91,3.31,12.50,13.63,47.08
Other schools tuition,2,9.40,4.84,9.90,4.55,6.84,20.92
Other school expenses including rentals,2,44.08,24.14,25.07,32.98,56.10,82.28
"School books, supplies, equipment for college",2,50.95,42.07,63.85,33.44,40.15,75.23
"School books, supplies, equipment for elementary, high school",2,18.00,5.33,8.86,16.13,22.51,37.24
"School books, supplies, equipment for vocational and technical schools",2,1.29,1.40,3.31,.27,1.27,.20
"School books, supplies, equipment for day care, nursery",2,.58,.27,.46,.20,.31,1.69
"School books, supplies, equipment for other schools",2,1.03,.27,.58,.50,2.92,.88
"School supplies, etc. - unspecified*",2,52.31,23.62,38.54,37.96,56.80,104.57
Cigarettes,2,294.94,277.19,304.67,314.15,326.71,251.84
Other tobacco products,2,33.76,20.44,24.91,33.85,47.61,42.06
Smoking accessories*,2,7.46,3.99,3.00,13.59,8.21,8.53
Marijuana*,2,1.05,2.95,2.29,b/,b/,b/
Miscellaneous fees*,2,4.26,2.19,.15,b/,13.55,5.40
Lotteries and pari-mutuel losses*,2,49.34,30.27,24.35,36.42,82.56,73.08
Legal fees,2,168.63,38.28,169.42,232.24,161.63,241.67
Funeral expenses,2,57.72,61.43,70.71,57.57,45.27,53.58
Safe deposit box rental,2,4.14,2.31,3.67,4.16,4.25,6.33
"Checking accounts, other bank service charges",2,29.93,22.13,33.26,27.60,34.58,32.09
"Cemetery lots, vaults, maintenance fees",2,6.80,4.90,10.91,8.80,3.27,6.11
Accounting fees,2,89.84,12.79,53.91,77.17,76.72,229.06
Miscellaneous personal services*,2,37.98,21.41,20.58,50.12,14.09,83.62
Dating services,2,.48,.11,.57,.49,.72,.49
"Finance, late, interest charges for credit cards",2,304.51,88.13,169.19,328.97,389.24,548.02
"Finance, late, interest charges for other loans",2,45.81,14.06,34.78,31.76,60.30,88.29
Occupational expenses,2,47.15,6.43,11.53,31.55,69.22,117.34
Expenses for other properties,2,66.55,11.93,24.87,87.52,65.27,143.47
"Interest paid, home equity line of credit (other property)",2,.50,b/,.18,b/,b/,2.30
Credit card memberships,2,7.29,3.73,1.92,4.07,7.17,19.60
Shopping club membership fees,2,19.91,6.31,11.45,17.12,25.18,39.56
Vacation clubs,2,18.65,9.30,4.76,12.39,9.39,57.55
Support for college students,2,101.68,19.77,46.22,56.80,87.70,298.56
Alimony expenditures,2,95.47,12.11,11.64,24.43,98.85,331.20
Child support expenditures,2,224.97,69.30,128.85,258.37,270.62,398.44
"Gift to non-CU members of stocks, bonds, and mutual funds",2,38.62,.25,145.37,15.94,8.91,22.10
Cash contributions to charities and other organizations,2,396.59,63.92,116.36,112.84,149.35,"1,544.19"
"Cash contributions to church, religious organizations",2,747.32,254.76,465.02,549.51,788.08,"1,682.35"
Cash contribution to educational institutions,2,61.38,3.85,16.39,12.78,21.32,253.17
Cash contribution to political organizations,2,19.26,10.33,6.18,10.75,13.96,55.23
Other cash gifts,2,395.55,123.69,494.88,260.08,451.75,647.34
"Life, endowment, annuity, other personal insurance",3,299.69,82.66,170.37,223.17,297.53,726.16
Other nonhealth insurance,3,22.25,5.76,9.87,15.14,21.61,58.98
Deductions for government retirement,3,138.11,2.32,21.09,80.69,211.75,375.70
Deductions for railroad retirement,3,4.10,b/,b/,.96,10.87,8.70
Deductions for private pensions,3,667.47,6.14,71.92,246.24,704.99,"2,314.17"
Non-payroll deposit to retirement plans,3,"1,004.23",249.72,202.49,500.08,"1,063.06","3,013.63"
Deductions for Social Security,3,"4,695.00",297.98,"1,290.67","3,160.92","5,951.77","12,805.05"
